team_home,team_away,goals_home,goals_away,result,date,source
Mexico,South Africa,2.0,0.0,1.0,,matches_combined
South Korea,Czechia,2.0,1.0,1.0,,matches_combined
Canada,Bosnia-Herzegovina,1.0,1.0,0.0,,matches_combined
United States,Paraguay,0.0,0.0,0.0,,matches_combined
Qatar,Switzerland,0.0,0.0,0.0,,matches_combined
Brazil,Morocco,0.0,0.0,0.0,,matches_combined
Haiti,Scotland,0.0,0.0,0.0,,matches_combined
Australia,Turkey,0.0,0.0,0.0,,matches_combined
Germany,Curaçao,0.0,0.0,0.0,,matches_combined
Netherlands,Japan,0.0,0.0,0.0,,matches_combined
Ivory Coast,Ecuador,0.0,0.0,0.0,,matches_combined
Sweden,Tunisia,0.0,0.0,0.0,,matches_combined
Spain,Cape Verde Islands,0.0,0.0,0.0,,matches_combined
Belgium,Egypt,0.0,0.0,0.0,,matches_combined
Saudi Arabia,Uruguay,0.0,0.0,0.0,,matches_combined
Iran,New Zealand,0.0,0.0,0.0,,matches_combined
France,Senegal,0.0,0.0,0.0,,matches_combined
Iraq,Norway,0.0,0.0,0.0,,matches_combined
Argentina,Algeria,0.0,0.0,0.0,,matches_combined
Austria,Jordan,0.0,0.0,0.0,,matches_combined
Portugal,Congo DR,0.0,0.0,0.0,,matches_combined
England,Croatia,0.0,0.0,0.0,,matches_combined
Ghana,Panama,0.0,0.0,0.0,,matches_combined
Uzbekistan,Colombia,0.0,0.0,0.0,,matches_combined
Czechia,South Africa,0.0,0.0,0.0,,matches_combined
Switzerland,Bosnia-Herzegovina,0.0,0.0,0.0,,matches_combined
Canada,Qatar,0.0,0.0,0.0,,matches_combined
Mexico,South Korea,0.0,0.0,0.0,,matches_combined
United States,Australia,0.0,0.0,0.0,,matches_combined
Scotland,Morocco,0.0,0.0,0.0,,matches_combined
Brazil,Haiti,0.0,0.0,0.0,,matches_combined
Turkey,Paraguay,0.0,0.0,0.0,,matches_combined
Netherlands,Sweden,0.0,0.0,0.0,,matches_combined
Germany,Ivory Coast,0.0,0.0,0.0,,matches_combined
Ecuador,Curaçao,0.0,0.0,0.0,,matches_combined
Tunisia,Japan,0.0,0.0,0.0,,matches_combined
Spain,Saudi Arabia,0.0,0.0,0.0,,matches_combined
Belgium,Iran,0.0,0.0,0.0,,matches_combined
Uruguay,Cape Verde Islands,0.0,0.0,0.0,,matches_combined
New Zealand,Egypt,0.0,0.0,0.0,,matches_combined
Argentina,Austria,0.0,0.0,0.0,,matches_combined
France,Iraq,0.0,0.0,0.0,,matches_combined
Norway,Senegal,0.0,0.0,0.0,,matches_combined
Jordan,Algeria,0.0,0.0,0.0,,matches_combined
Portugal,Uzbekistan,0.0,0.0,0.0,,matches_combined
England,Ghana,0.0,0.0,0.0,,matches_combined
Panama,Croatia,0.0,0.0,0.0,,matches_combined
Colombia,Congo DR,0.0,0.0,0.0,,matches_combined
Switzerland,Canada,0.0,0.0,0.0,,matches_combined
Bosnia-Herzegovina,Qatar,0.0,0.0,0.0,,matches_combined
Morocco,Haiti,0.0,0.0,0.0,,matches_combined
Scotland,Brazil,0.0,0.0,0.0,,matches_combined
Czechia,Mexico,0.0,0.0,0.0,,matches_combined
South Africa,South Korea,0.0,0.0,0.0,,matches_combined
Ecuador,Germany,0.0,0.0,0.0,,matches_combined
Curaçao,Ivory Coast,0.0,0.0,0.0,,matches_combined
Tunisia,Netherlands,0.0,0.0,0.0,,matches_combined
Japan,Sweden,0.0,0.0,0.0,,matches_combined
Turkey,United States,0.0,0.0,0.0,,matches_combined
Paraguay,Australia,0.0,0.0,0.0,,matches_combined
Norway,France,0.0,0.0,0.0,,matches_combined
Senegal,Iraq,0.0,0.0,0.0,,matches_combined
Uruguay,Spain,0.0,0.0,0.0,,matches_combined
Cape Verde Islands,Saudi Arabia,0.0,0.0,0.0,,matches_combined
New Zealand,Belgium,0.0,0.0,0.0,,matches_combined
Egypt,Iran,0.0,0.0,0.0,,matches_combined
Panama,England,0.0,0.0,0.0,,matches_combined
Croatia,Ghana,0.0,0.0,0.0,,matches_combined
Colombia,Portugal,0.0,0.0,0.0,,matches_combined
Congo DR,Uzbekistan,0.0,0.0,0.0,,matches_combined
Jordan,Argentina,0.0,0.0,0.0,,matches_combined
Algeria,Austria,0.0,0.0,0.0,,matches_combined
Germany,Scotland,5.0,1.0,1.0,,matches_combined
Hungary,Switzerland,1.0,3.0,2.0,,matches_combined
Spain,Croatia,3.0,0.0,1.0,,matches_combined
Italy,Albania,2.0,1.0,1.0,,matches_combined
Poland,Netherlands,1.0,2.0,2.0,,matches_combined
Slovenia,Denmark,1.0,1.0,0.0,,matches_combined
Serbia,England,0.0,1.0,2.0,,matches_combined
Romania,Ukraine,3.0,0.0,1.0,,matches_combined
Belgium,Slovakia,0.0,1.0,2.0,,matches_combined
Austria,France,0.0,1.0,2.0,,matches_combined
Turkey,Georgia,3.0,1.0,1.0,,matches_combined
Portugal,Czechia,2.0,1.0,1.0,,matches_combined
Croatia,Albania,2.0,2.0,0.0,,matches_combined
Germany,Hungary,2.0,0.0,1.0,,matches_combined
Scotland,Switzerland,1.0,1.0,0.0,,matches_combined
Slovenia,Serbia,1.0,1.0,0.0,,matches_combined
Denmark,England,1.0,1.0,0.0,,matches_combined
Spain,Italy,1.0,0.0,1.0,,matches_combined
Slovakia,Ukraine,1.0,2.0,2.0,,matches_combined
Poland,Austria,1.0,3.0,2.0,,matches_combined
Netherlands,France,0.0,0.0,0.0,,matches_combined
Georgia,Czechia,1.0,1.0,0.0,,matches_combined
Turkey,Portugal,0.0,3.0,2.0,,matches_combined
Belgium,Romania,2.0,0.0,1.0,,matches_combined
Scotland,Hungary,0.0,1.0,2.0,,matches_combined
Switzerland,Germany,1.0,1.0,0.0,,matches_combined
Albania,Spain,0.0,1.0,2.0,,matches_combined
Croatia,Italy,1.0,1.0,0.0,,matches_combined
France,Poland,1.0,1.0,0.0,,matches_combined
Netherlands,Austria,2.0,3.0,2.0,,matches_combined
Denmark,Serbia,0.0,0.0,0.0,,matches_combined
England,Slovenia,0.0,0.0,0.0,,matches_combined
Ukraine,Belgium,0.0,0.0,0.0,,matches_combined
Slovakia,Romania,1.0,1.0,0.0,,matches_combined
Czechia,Turkey,1.0,2.0,2.0,,matches_combined
Georgia,Portugal,2.0,0.0,1.0,,matches_combined
Switzerland,Italy,2.0,0.0,1.0,,matches_combined
Germany,Denmark,2.0,0.0,1.0,,matches_combined
England,Slovakia,2.0,1.0,1.0,,matches_combined
Spain,Georgia,4.0,1.0,1.0,,matches_combined
France,Belgium,1.0,0.0,1.0,,matches_combined
Portugal,Slovenia,3.0,0.0,1.0,,matches_combined
Romania,Netherlands,0.0,3.0,2.0,,matches_combined
Austria,Turkey,1.0,2.0,2.0,,matches_combined
Spain,Germany,2.0,1.0,1.0,,matches_combined
Portugal,France,3.0,5.0,2.0,,matches_combined
England,Switzerland,6.0,4.0,1.0,,matches_combined
Netherlands,Turkey,2.0,1.0,1.0,,matches_combined
Spain,France,2.0,1.0,1.0,,matches_combined
Netherlands,England,1.0,2.0,2.0,,matches_combined
Spain,England,2.0,1.0,1.0,,matches_combined
Scotland,England,0.0,0.0,0.0,1872-11-30,international_results
England,Scotland,4.0,2.0,1.0,1873-03-08,international_results
Scotland,England,2.0,1.0,1.0,1874-03-07,international_results
England,Scotland,2.0,2.0,0.0,1875-03-06,international_results
Scotland,England,3.0,0.0,1.0,1876-03-04,international_results
Scotland,Wales,4.0,0.0,1.0,1876-03-25,international_results
England,Scotland,1.0,3.0,2.0,1877-03-03,international_results
Wales,Scotland,0.0,2.0,2.0,1877-03-05,international_results
Scotland,England,7.0,2.0,1.0,1878-03-02,international_results
Scotland,Wales,9.0,0.0,1.0,1878-03-23,international_results
England,Wales,2.0,1.0,1.0,1879-01-18,international_results
England,Scotland,5.0,4.0,1.0,1879-04-05,international_results
Wales,Scotland,0.0,3.0,2.0,1879-04-07,international_results
Scotland,England,5.0,4.0,1.0,1880-03-13,international_results
Wales,England,2.0,3.0,2.0,1880-03-15,international_results
Scotland,Wales,5.0,1.0,1.0,1880-03-27,international_results
England,Wales,0.0,1.0,2.0,1881-02-26,international_results
England,Scotland,1.0,6.0,2.0,1881-03-12,international_results
Wales,Scotland,1.0,5.0,2.0,1881-03-14,international_results
Northern Ireland,England,0.0,13.0,2.0,1882-02-18,international_results
Wales,Northern Ireland,7.0,1.0,1.0,1882-02-25,international_results
Scotland,England,5.0,1.0,1.0,1882-03-11,international_results
Wales,England,5.0,3.0,1.0,1882-03-13,international_results
Scotland,Wales,5.0,0.0,1.0,1882-03-25,international_results
England,Wales,5.0,0.0,1.0,1883-02-03,international_results
England,Northern Ireland,7.0,0.0,1.0,1883-02-24,international_results
England,Scotland,2.0,3.0,2.0,1883-03-10,international_results
Wales,Scotland,0.0,3.0,2.0,1883-03-12,international_results
Northern Ireland,Wales,1.0,1.0,0.0,1883-03-17,international_results
Northern Ireland,Scotland,0.0,5.0,2.0,1884-01-26,international_results
Wales,Northern Ireland,6.0,0.0,1.0,1884-02-09,international_results
Northern Ireland,England,1.0,8.0,2.0,1884-02-23,international_results
Scotland,England,1.0,0.0,1.0,1884-03-15,international_results
Wales,England,0.0,4.0,2.0,1884-03-17,international_results
Scotland,Wales,4.0,1.0,1.0,1884-03-29,international_results
England,Northern Ireland,4.0,0.0,1.0,1885-02-28,international_results
England,Wales,1.0,1.0,0.0,1885-03-14,international_results
Scotland,Northern Ireland,8.0,2.0,1.0,1885-03-14,international_results
England,Scotland,1.0,1.0,0.0,1885-03-21,international_results
Wales,Scotland,1.0,8.0,2.0,1885-03-23,international_results
Northern Ireland,Wales,2.0,8.0,2.0,1885-04-11,international_results
United States,Canada,0.0,1.0,2.0,1885-11-28,international_results
Wales,Northern Ireland,5.0,0.0,1.0,1886-02-27,international_results
Northern Ireland,England,1.0,6.0,2.0,1886-03-13,international_results
Northern Ireland,Scotland,2.0,7.0,2.0,1886-03-20,international_results
Scotland,England,1.0,1.0,0.0,1886-03-27,international_results
Wales,England,1.0,3.0,2.0,1886-03-29,international_results
Scotland,Wales,4.0,1.0,1.0,1886-04-10,international_results
United States,Canada,3.0,2.0,1.0,1886-11-25,international_results
England,Northern Ireland,7.0,0.0,1.0,1887-02-05,international_results
Scotland,Northern Ireland,4.0,1.0,1.0,1887-02-19,international_results
England,Wales,4.0,0.0,1.0,1887-02-26,international_results
Northern Ireland,Wales,4.0,1.0,1.0,1887-03-12,international_results
England,Scotland,2.0,3.0,2.0,1887-03-19,international_results
Wales,Scotland,0.0,2.0,2.0,1887-03-21,international_results
England,Wales,5.0,1.0,1.0,1888-02-04,international_results
