team,fifa_rank
España,1
Argentina,2
Francia,3
Inglaterra,4
Brasil,5
Portugal,6
Países Bajos,7
Bélgica,8
Alemania,9
Croacia,10
Marruecos,11
Colombia,13
Estados Unidos,14
Mexico,15
Uruguay,16
Switzerland,17
Japan,18
Senegal,19
Iran,20
Corea del Sur,22
Ecuador,23
Austria,24
Turkey,25
Australia,26
Canadá,27
Norway,29
Panama,30
Egypt,34
Algeria,35
Scotland,36
Paraguay,39
Tunisia,40
Costa de Marfil,42
Sweden,43
Czech Republic,44
Uzbekistan,50
Qatar,51
Congo DR,56
Iraq,58
Arabia Saudita,60
South Africa,61
Jordan,66
Cabo Verde,68
Bosnia and Herzegovina,71
Ghana,72
Curacao,82
Haiti,84
New Zealand,86
