team,market_value,average_age
España,1120,26.7
Argentina,850,28.1
Francia,1180,26.5
Inglaterra,1260,26.4
Brasil,1040,26.8
Portugal,1030,27.2
Países Bajos,820,26.6
Bélgica,540,27.9
Alemania,890,26.7
Croacia,330,28.3
Marruecos,360,27.0
Colombia,310,27.4
Estados Unidos,360,25.8
Mexico,230,27.5
Uruguay,520,27.1
Switzerland,300,27.6
Japan,290,26.9
Senegal,260,27.2
Iran,70,28.5
Corea del Sur,210,27.8
Ecuador,230,25.9
Austria,300,27.3
Turkey,390,26.8
Australia,55,28.1
Canadá,210,26.2
Norway,500,26.1
Panama,30,28.0
Egypt,170,28.2
Argelia,190,27.8
Scotland,250,27.5
Paraguay,130,27.4
Tunisia,65,27.9
Costa de Marfil,300,26.7
Sweden,320,27.1
Czech Republic,190,27.6
Uzbekistan,55,26.8
Qatar,22,28.0
Congo DR,120,26.9
Iraq,25,27.6
Arabia Saudita,35,28.4
South Africa,45,27.3
Jordania,18,27.8
Cabo Verde,38,28.2
Bosnia and Herzegovina,95,27.7
Ghana,170,26.6
Curacao,28,27.9
Haiti,23,27.2
New Zealand,40,26.9
