team_home,team_away,goals_home,goals_away,fifa_rank_home,fifa_rank_away,elo_home,elo_away,form_home,form_away,goals_scored_avg_home,goals_scored_avg_away,goals_conceded_avg_home,goals_conceded_avg_away,home_average_age,away_average_age,home_market_value,away_market_value,result
Senegal,England,2,1,17,4,1750,2018,2,2,1.87,1.24,1.08,1.23,26.9,28.3,776.7,427.7,2
Canada,Portugal,1,0,20,7,1699,1974,4,4,1.0,1.42,1.35,1.2,29.1,27.6,909.6,863.7,1
Senegal,Argentina,1,1,17,1,1750,2085,2,3,1.87,1.12,1.08,1.37,26.9,26.3,776.7,889.2,2
Croatia,Italy,1,3,12,10,1862,1906,2,2,1.24,1.29,0.99,1.54,26.3,27.8,325.7,436.9,1
France,Canada,0,2,3,20,2032,1699,3,4,1.56,1.0,0.72,1.35,28.1,29.1,861.1,909.6,2
South Korea,Spain,1,1,18,5,1739,1998,2,4,1.58,1.37,1.57,0.84,28.0,25.9,391.6,603.9,1
Netherlands,Senegal,2,1,9,17,1917,1750,4,2,1.31,1.87,1.27,1.08,26.1,26.9,584.2,776.7,2
South Korea,Portugal,2,1,18,7,1739,1974,2,4,1.58,1.42,1.57,1.2,28.0,27.6,391.6,863.7,2
Croatia,Japan,1,1,12,15,1862,1802,2,5,1.24,1.29,0.99,1.23,26.3,26.8,325.7,1097.9,2
France,Uruguay,1,1,3,11,2032,1888,3,4,1.56,1.27,0.72,1.12,28.1,29.2,861.1,812.0,1
Argentina,France,1,2,1,3,2085,2032,3,3,1.12,1.56,1.37,0.72,26.3,28.1,889.2,861.1,2
Brazil,Uruguay,2,2,2,11,2066,1888,5,4,1.81,1.27,1.19,1.12,25.6,29.2,375.0,812.0,1
Portugal,South Korea,2,1,7,18,1974,1739,4,2,1.42,1.58,1.2,1.57,27.6,28.0,863.7,391.6,1
Morocco,Belgium,0,2,16,8,1769,1926,2,2,1.56,1.73,0.78,1.4,28.7,28.7,422.3,993.2,2
England,USA,0,0,4,14,2018,1833,2,4,1.24,2.01,1.23,1.11,28.3,26.0,427.7,896.0,0
Brazil,England,3,1,2,4,2066,2018,5,2,1.81,1.24,1.19,1.23,25.6,28.3,375.0,427.7,1
England,Belgium,1,1,4,8,2018,1926,2,2,1.24,1.73,1.23,1.4,28.3,28.7,427.7,993.2,1
Germany,Netherlands,1,1,6,9,1976,1917,2,4,1.93,1.31,1.24,1.27,28.2,26.1,729.0,584.2,2
South Korea,England,1,3,18,4,1739,2018,2,2,1.58,1.24,1.57,1.23,28.0,28.3,391.6,427.7,1
France,Belgium,2,1,3,8,2032,1926,3,2,1.56,1.73,0.72,1.4,28.1,28.7,861.1,993.2,1
Mexico,Brazil,1,2,13,2,1835,2066,4,5,1.44,1.81,0.76,1.19,26.3,25.6,699.4,375.0,1
Japan,Italy,1,1,15,10,1802,1906,5,2,1.29,1.29,1.23,1.54,26.8,27.8,1097.9,436.9,0
South Korea,Morocco,1,3,18,16,1739,1769,2,2,1.58,1.56,1.57,0.78,28.0,28.7,391.6,422.3,1
Australia,South Korea,1,2,19,18,1733,1739,4,2,1.59,1.58,0.94,1.57,25.9,28.0,647.8,391.6,1
Morocco,Senegal,1,2,16,17,1769,1750,2,2,1.56,1.87,0.78,1.08,28.7,26.9,422.3,776.7,2
Senegal,France,1,2,17,3,1750,2032,2,3,1.87,1.56,1.08,0.72,26.9,28.1,776.7,861.1,2
Belgium,Mexico,2,0,8,13,1926,1835,2,4,1.73,1.44,1.4,0.76,28.7,26.3,993.2,699.4,1
Canada,Brazil,2,1,20,2,1699,2066,4,5,1.0,1.81,1.35,1.19,29.1,25.6,909.6,375.0,2
Senegal,Uruguay,2,2,17,11,1750,1888,2,4,1.87,1.27,1.08,1.12,26.9,29.2,776.7,812.0,2
Belgium,Netherlands,1,1,8,9,1926,1917,2,4,1.73,1.31,1.4,1.27,28.7,26.1,993.2,584.2,0
Uruguay,France,1,0,11,3,1888,2032,4,3,1.27,1.56,1.12,0.72,29.2,28.1,812.0,861.1,1
England,France,1,1,4,3,2018,2032,2,3,1.24,1.56,1.23,0.72,28.3,28.1,427.7,861.1,2
Croatia,France,1,2,12,3,1862,2032,2,3,1.24,1.56,0.99,0.72,26.3,28.1,325.7,861.1,2
South Korea,Italy,3,2,18,10,1739,1906,2,2,1.58,1.29,1.57,1.54,28.0,27.8,391.6,436.9,2
Argentina,South Korea,1,1,1,18,2085,1739,3,2,1.12,1.58,1.37,1.57,26.3,28.0,889.2,391.6,0
England,Spain,2,2,4,5,2018,1998,2,4,1.24,1.37,1.23,0.84,28.3,25.9,427.7,603.9,0
Spain,Netherlands,1,1,5,9,1998,1917,4,4,1.37,1.31,0.84,1.27,25.9,26.1,603.9,584.2,0
Portugal,Uruguay,1,1,7,11,1974,1888,4,4,1.42,1.27,1.2,1.12,27.6,29.2,863.7,812.0,1
Morocco,Netherlands,0,2,16,9,1769,1917,2,4,1.56,1.31,0.78,1.27,28.7,26.1,422.3,584.2,2
USA,Netherlands,2,2,14,9,1833,1917,4,4,2.01,1.31,1.11,1.27,26.0,26.1,896.0,584.2,1
Netherlands,Germany,1,1,9,6,1917,1976,4,2,1.31,1.93,1.27,1.24,26.1,28.2,584.2,729.0,2
Argentina,England,3,0,1,4,2085,2018,3,2,1.12,1.24,1.37,1.23,26.3,28.3,889.2,427.7,1
South Korea,Brazil,1,1,18,2,1739,2066,2,5,1.58,1.81,1.57,1.19,28.0,25.6,391.6,375.0,2
Spain,Brazil,2,2,5,2,1998,2066,4,5,1.37,1.81,0.84,1.19,25.9,25.6,603.9,375.0,0
Brazil,Croatia,1,1,2,12,2066,1862,5,2,1.81,1.24,1.19,0.99,25.6,26.3,375.0,325.7,1
South Korea,USA,2,2,18,14,1739,1833,2,4,1.58,2.01,1.57,1.11,28.0,26.0,391.6,896.0,2
Belgium,Germany,2,1,8,6,1926,1976,2,2,1.73,1.93,1.4,1.24,28.7,28.2,993.2,729.0,2
Argentina,Germany,0,1,1,6,2085,1976,3,2,1.12,1.93,1.37,1.24,26.3,28.2,889.2,729.0,2
Belgium,Netherlands,4,1,8,9,1926,1917,2,4,1.73,1.31,1.4,1.27,28.7,26.1,993.2,584.2,1
Brazil,Morocco,1,1,2,16,2066,1769,5,2,1.81,1.56,1.19,0.78,25.6,28.7,375.0,422.3,1
Italy,Belgium,1,1,10,8,1906,1926,2,2,1.29,1.73,1.54,1.4,27.8,28.7,436.9,993.2,1
Netherlands,France,1,1,9,3,1917,2032,4,3,1.31,1.56,1.27,0.72,26.1,28.1,584.2,861.1,2
Mexico,South Korea,2,2,13,18,1835,1739,4,2,1.44,1.58,0.76,1.57,26.3,28.0,699.4,391.6,0
Argentina,England,2,1,1,4,2085,2018,3,2,1.12,1.24,1.37,1.23,26.3,28.3,889.2,427.7,2
Netherlands,Brazil,1,2,9,2,1917,2066,4,5,1.31,1.81,1.27,1.19,26.1,25.6,584.2,375.0,1
Uruguay,USA,1,1,11,14,1888,1833,4,4,1.27,2.01,1.12,1.11,29.2,26.0,812.0,896.0,2
Australia,Portugal,1,1,19,7,1733,1974,4,4,1.59,1.42,0.94,1.2,25.9,27.6,647.8,863.7,0
South Korea,Portugal,1,1,18,7,1739,1974,2,4,1.58,1.42,1.57,1.2,28.0,27.6,391.6,863.7,0
France,Uruguay,0,1,3,11,2032,1888,3,4,1.56,1.27,0.72,1.12,28.1,29.2,861.1,812.0,2
Italy,Senegal,1,1,10,17,1906,1750,2,2,1.29,1.87,1.54,1.08,27.8,26.9,436.9,776.7,0
Italy,South Korea,2,0,10,18,1906,1739,2,2,1.29,1.58,1.54,1.57,27.8,28.0,436.9,391.6,1
Germany,Australia,2,2,6,19,1976,1733,2,4,1.93,1.59,1.24,0.94,28.2,25.9,729.0,647.8,0
South Korea,Argentina,2,2,18,1,1739,2085,2,3,1.58,1.12,1.57,1.37,28.0,26.3,391.6,889.2,0
Canada,Uruguay,2,2,20,11,1699,1888,4,4,1.0,1.27,1.35,1.12,29.1,29.2,909.6,812.0,0
Japan,Portugal,0,2,15,7,1802,1974,5,4,1.29,1.42,1.23,1.2,26.8,27.6,1097.9,863.7,2
Germany,France,1,1,6,3,1976,2032,2,3,1.93,1.56,1.24,0.72,28.2,28.1,729.0,861.1,0
France,Belgium,1,1,3,8,2032,1926,3,2,1.56,1.73,0.72,1.4,28.1,28.7,861.1,993.2,2
Argentina,Brazil,2,2,1,2,2085,2066,3,5,1.12,1.81,1.37,1.19,26.3,25.6,889.2,375.0,0
Morocco,France,0,2,16,3,1769,2032,2,3,1.56,1.56,0.78,0.72,28.7,28.1,422.3,861.1,2
Mexico,Morocco,2,2,13,16,1835,1769,4,2,1.44,1.56,0.76,0.78,26.3,28.7,699.4,422.3,0
England,USA,2,2,4,14,2018,1833,2,4,1.24,2.01,1.23,1.11,28.3,26.0,427.7,896.0,0
Senegal,Japan,2,3,17,15,1750,1802,2,5,1.87,1.29,1.08,1.23,26.9,26.8,776.7,1097.9,1
