team_home,team_away,goals_home,goals_away,fifa_rank_home,fifa_rank_away,elo_home,elo_away,form_home,form_away,goals_scored_avg_home,goals_scored_avg_away,goals_conceded_avg_home,goals_conceded_avg_away,home_average_age,away_average_age,home_market_value,away_market_value,result
Germany,Scotland,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hungary,Switzerland,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Spain,Croatia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Italy,Albania,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Poland,Netherlands,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Slovenia,Denmark,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,England,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Romania,Ukraine,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,Slovakia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Austria,France,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Turkey,Georgia,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portugal,Czechia,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Croatia,Albania,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Hungary,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scotland,Switzerland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,Serbia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Italy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Slovakia,Ukraine,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Poland,Austria,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Netherlands,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Czechia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Portugal,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Belgium,Romania,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scotland,Hungary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Switzerland,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Spain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Croatia,Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Poland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Austria,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Denmark,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Romania,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,Turkey,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Georgia,Portugal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Switzerland,Italy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,Denmark,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
England,Slovakia,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,Georgia,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portugal,Slovenia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Romania,Netherlands,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Austria,Turkey,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Spain,Germany,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portugal,France,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
England,Switzerland,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Netherlands,Turkey,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,France,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Netherlands,England,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Spain,England,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
