team,champion_count,champion_probability
England,486,0.0486
Brazil,439,0.0439
Argentina,432,0.0432
Croatia,401,0.0401
Spain,391,0.0391
Portugal,377,0.0377
France,360,0.036
Morocco,352,0.0352
Germany,332,0.0332
Austria,319,0.0319
Netherlands,311,0.0311
Belgium,306,0.0306
Japan,306,0.0306
United States,273,0.0273
Mexico,247,0.0247
Australia,244,0.0244
Senegal,242,0.0242
Switzerland,239,0.0239
Uruguay,216,0.0216
South Korea,214,0.0214
Canada,201,0.0201
Paraguay,198,0.0198
Colombia,193,0.0193
Czech Republic,188,0.0188
Iraq,161,0.0161
Scotland,158,0.0158
Egypt,141,0.0141
Turkey,137,0.0137
Ivory Coast,137,0.0137
DR Congo,126,0.0126
Panama,124,0.0124
Algeria,121,0.0121
Cape Verde,118,0.0118
Norway,117,0.0117
Uzbekistan,115,0.0115
Iran,115,0.0115
Saudi Arabia,110,0.011
Bosnia and Herzegovina,108,0.0108
Curaçao,103,0.0103
Haiti,102,0.0102
Ghana,102,0.0102
Jordan,100,0.01
Ecuador,99,0.0099
Qatar,95,0.0095
Sweden,90,0.009
New Zealand,90,0.009
South Africa,85,0.0085
Tunisia,79,0.0079
