stage,group,home_team,away_team,home_goals,away_goals,winner,points,goals_for,goals_against,goal_difference
group_standings,A,Mexico,,7,5,,7,5,3,2
group_standings,A,South Korea,,4,5,,4,5,5,0
group_standings,A,Czech Republic,,2,4,,2,4,5,-1
group_standings,A,South Africa,,2,3,,2,3,4,-1
group_standings,B,Canada,,7,5,,7,5,3,2
group_standings,B,Switzerland,,4,3,,4,3,3,0
group_standings,B,Bosnia and Herzegovina,,3,3,,3,3,3,0
group_standings,B,Qatar,,1,2,,1,2,4,-2
group_standings,C,Brazil,,7,4,,7,4,2,2
group_standings,C,Morocco,,4,3,,4,3,3,0
group_standings,C,Haiti,,3,4,,3,4,5,-1
group_standings,C,Scotland,,3,2,,3,2,3,-1
group_standings,D,United States,,7,4,,7,4,2,2
group_standings,D,Australia,,4,4,,4,4,4,0
group_standings,D,Turkey,,3,4,,3,4,5,-1
group_standings,D,Paraguay,,3,3,,3,3,4,-1
group_standings,E,Germany,,9,6,,9,6,3,3
group_standings,E,Curaçao,,4,4,,4,4,4,0
group_standings,E,Ivory Coast,,3,4,,3,4,5,-1
group_standings,E,Ecuador,,1,3,,1,3,5,-2
group_standings,F,Netherlands,,7,4,,7,4,2,2
group_standings,F,Japan,,4,3,,4,3,3,0
group_standings,F,Sweden,,3,4,,3,4,4,0
group_standings,F,Tunisia,,1,2,,1,2,4,-2
group_standings,G,Belgium,,9,4,,9,4,1,3
group_standings,G,Iran,,4,5,,4,5,5,0
group_standings,G,New Zealand,,4,4,,4,4,4,0
group_standings,G,Egypt,,0,2,,0,2,5,-3
group_standings,H,Spain,,7,3,,7,3,1,2
group_standings,H,Cape Verde,,4,4,,4,4,4,0
group_standings,H,Uruguay,,4,3,,4,3,3,0
group_standings,H,Saudi Arabia,,1,2,,1,2,4,-2
group_standings,I,Senegal,,6,5,,6,5,4,1
group_standings,I,France,,4,5,,4,5,5,0
group_standings,I,Iraq,,4,5,,4,5,5,0
group_standings,I,Norway,,3,4,,3,4,5,-1
group_standings,J,Austria,,6,4,,6,4,3,1
group_standings,J,Algeria,,5,6,,5,6,5,1
group_standings,J,Argentina,,4,5,,4,5,4,1
group_standings,J,Jordan,,1,2,,1,2,5,-3
group_standings,K,Portugal,,9,6,,9,6,3,3
group_standings,K,Colombia,,6,4,,6,4,3,1
group_standings,K,Uzbekistan,,1,3,,1,3,5,-2
group_standings,K,DR Congo,,1,2,,1,2,4,-2
group_standings,L,Croatia,,5,5,,5,5,4,1
group_standings,L,England,,4,5,,4,5,5,0
group_standings,L,Panama,,4,4,,4,4,4,0
group_standings,L,Ghana,,3,2,,3,2,3,-1
group,A,Mexico,South Korea,2,1,Mexico,,,,
group,A,Mexico,Czech Republic,2,1,Mexico,,,,
group,A,Mexico,South Africa,1,1,draw,,,,
group,A,South Korea,Czech Republic,2,2,draw,,,,
group,A,South Korea,South Africa,2,1,South Korea,,,,
group,A,Czech Republic,South Africa,1,1,draw,,,,
group,B,Canada,Bosnia and Herzegovina,1,1,draw,,,,
group,B,Canada,Switzerland,2,1,Canada,,,,
group,B,Canada,Qatar,2,1,Canada,,,,
group,B,Bosnia and Herzegovina,Switzerland,1,1,draw,,,,
group,B,Bosnia and Herzegovina,Qatar,1,1,draw,,,,
group,B,Switzerland,Qatar,1,0,Switzerland,,,,
group,C,Brazil,Morocco,1,1,draw,,,,
group,C,Brazil,Haiti,2,1,Brazil,,,,
group,C,Brazil,Scotland,1,0,Brazil,,,,
group,C,Morocco,Haiti,1,2,Haiti,,,,
group,C,Morocco,Scotland,1,0,Morocco,,,,
group,C,Haiti,Scotland,1,2,Scotland,,,,
group,D,United States,Paraguay,1,0,United States,,,,
group,D,United States,Australia,1,1,draw,,,,
group,D,United States,Turkey,2,1,United States,,,,
group,D,Paraguay,Australia,1,2,Australia,,,,
group,D,Paraguay,Turkey,2,1,Paraguay,,,,
group,D,Australia,Turkey,1,2,Turkey,,,,
group,E,Germany,Curaçao,2,1,Germany,,,,
group,E,Germany,Ivory Coast,2,1,Germany,,,,
group,E,Germany,Ecuador,2,1,Germany,,,,
group,E,Curaçao,Ivory Coast,2,1,Curaçao,,,,
group,E,Curaçao,Ecuador,1,1,draw,,,,
group,E,Ivory Coast,Ecuador,2,1,Ivory Coast,,,,
group,F,Netherlands,Japan,1,0,Netherlands,,,,
group,F,Netherlands,Sweden,1,1,draw,,,,
group,F,Netherlands,Tunisia,2,1,Netherlands,,,,
group,F,Japan,Sweden,2,2,draw,,,,
group,F,Japan,Tunisia,1,0,Japan,,,,
group,F,Sweden,Tunisia,1,1,draw,,,,
group,G,Belgium,Egypt,1,0,Belgium,,,,
group,G,Belgium,Iran,2,1,Belgium,,,,
group,G,Belgium,New Zealand,1,0,Belgium,,,,
group,G,Egypt,Iran,1,2,Iran,,,,
group,G,Egypt,New Zealand,1,2,New Zealand,,,,
group,G,Iran,New Zealand,2,2,draw,,,,
group,H,Spain,Cape Verde,1,1,draw,,,,
group,H,Spain,Saudi Arabia,1,0,Spain,,,,
group,H,Spain,Uruguay,1,0,Spain,,,,
group,H,Cape Verde,Saudi Arabia,2,1,Cape Verde,,,,
group,H,Cape Verde,Uruguay,1,2,Uruguay,,,,
group,H,Saudi Arabia,Uruguay,1,1,draw,,,,
group,I,France,Senegal,1,2,Senegal,,,,
group,I,France,Iraq,2,2,draw,,,,
group,I,France,Norway,2,1,France,,,,
group,I,Senegal,Iraq,1,2,Iraq,,,,
group,I,Senegal,Norway,2,1,Senegal,,,,
group,I,Iraq,Norway,1,2,Norway,,,,
group,J,Argentina,Algeria,2,2,draw,,,,
group,J,Argentina,Austria,1,2,Austria,,,,
group,J,Argentina,Jordan,2,0,Argentina,,,,
group,J,Algeria,Austria,2,1,Algeria,,,,
group,J,Algeria,Jordan,2,2,draw,,,,
group,J,Austria,Jordan,1,0,Austria,,,,
group,K,Portugal,DR Congo,2,1,Portugal,,,,
group,K,Portugal,Uzbekistan,2,1,Portugal,,,,
group,K,Portugal,Colombia,2,1,Portugal,,,,
group,K,DR Congo,Uzbekistan,1,1,draw,,,,
group,K,DR Congo,Colombia,0,1,Colombia,,,,
group,K,Uzbekistan,Colombia,1,2,Colombia,,,,
group,L,England,Croatia,2,2,draw,,,,
group,L,England,Ghana,1,2,Ghana,,,,
group,L,England,Panama,2,1,England,,,,
group,L,Croatia,Ghana,1,0,Croatia,,,,
group,L,Croatia,Panama,2,2,draw,,,,
group,L,Ghana,Panama,0,1,Panama,,,,
